,Region,1990_ghg,1991_ghg,1992_ghg,1993_ghg,1994_ghg,1995_ghg,1996_ghg,1997_ghg,1998_ghg,1999_ghg,2000_ghg,2001_ghg,2002_ghg,2003_ghg,2004_ghg,2005_ghg,2006_ghg,2007_ghg,2008_ghg,2009_ghg,2010_ghg,2011_ghg,2012_ghg,2013_ghg,2014_ghg,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2020_ghg,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp
0,CentralAmerica,237804.84,242792.785,244363.505,246276.395,261792.14,256629.425,265626.145,280628.45,293820.48,289547.005,298880.08,297145.57,308470.225,308879.01999999996,318870.565,324061.085,332546.505,350052.31999999995,374480.975,367119.79,366296.63,375580.91,367903.73000000004,374594.46499999997,374424.165,379691.235,399887.425,385791.98,390039.195,375553.58499999996,375553.58499999996,133482635296.35245,160169522272.97687,185860821129.61368,255159465934.40192,269150011465.50226,185826251751.96814,211327009908.7597,256514042745.7657,270093192662.4881,307243870161.9921,361460187116.6056,386341237463.41907,394342599811.29895,373304040092.2455,400425598415.5341,448758431929.4999,499051336020.20197,539790491311.9872,570395404233.8219,465395531327.9374,547729955193.67096,611626109519.6122,624160819439.1362,662696378461.1962,683683796237.69,614154762925.3678,568668833835.0673,609714539693.2812,642414184102.0151,666753401868.7565,567881387971.6404
1,CentralAsia,386682.79,374535.98,351663.68,318608.87,273342.82,260567.69,247873.01,244367.64,252975.04,224661.18,260434.12,247386.51,263995.37,278029.52,282922.77,287466.39,301694.79,303873.68,300707.92,294889.26,315855.51,306112.27,311685.57,320869.54,342321.12,346827.11,346787.34,366656.8,383836.57,352690.65,333970.96,26932729102.7371,24923076923.0769,24917355371.9008,23409260879.9427,21250792886.1054,20374302652.3819,21035368250.8881,22165932062.966,22135254836.0031,16870821839.7584,18291994909.0044,22152694161.8882,24636593223.3467,30833699702.7594,43151647002.6096,57123671733.8952,81003884545.4099,104849886825.584,133441612246.798,115308661142.927,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,166805800595.704,179339994859.384,181667190075.541,171082379532.988
2,EasternAsia,1873018.6966666665,1885588.6333333335,1898861.0566666666,1909185.0366666664,1937871.79,2074995.086969697,2211389.693939394,2339208.5875757574,2419468.0045454544,2559834.8948484845,2697407.805151515,2813173.928787879,2948595.225757575,3074245.4260606063,3194041.9896969697,3317995.2733333334,3481267.823333333,3666033.8333333335,3814851.0366666666,3960751.5866666674,4166499.1633333336,4418348.393333334,4659134.286666666,4733543.493333333,4782933.323333333,4770220.8966666665,4764678.166666667,4765860.546666667,4756631.100000001,4736385.386666667,4700451.793333334,1259014363709.646,1432813975299.8916,1563750147861.6943,1763847087089.2278,2008913205903.9563,2282231663149.3125,2132435936066.368,2007935700807.7102,1836912246044.169,2075830716984.3438,2251961353241.8315,2087255214744.5432,2093547380789.5146,2294188980976.8037,2547212672826.772,2684111333028.9946,2802337268632.1333,3100902581301.4,3582775052673.5103,3778379355767.2007,4330100869616.11,5012623447085.837,5361006872480.424,5384509872267.333,5618998515194.873,5657418992460.943,5912355253508.437,6288382745627.137,6885518301888.637,7026714116118.98,7139461819796.547
3,EasternEurope,605868.9122222222,565529.7744444445,498385.55555555556,469157.37666666665,423577.2488888889,413068.5222222222,404765.3588888889,387039.30666666664,374728.7111111111,368977.1822222222,363687.4188888889,370267.85777777777,364332.95888888894,372428.3222222223,374871.6688888889,376722.1544444444,387456.39666666667,388213.1711111111,388513.96222222224,359036.31666666665,373820.16444444447,383088.6711111111,382011.04,371400.63666666666,364087.15555555554,359255.8511111111,362295.4066666667,368966.68555555557,377483.52777777775,371910.85555555555,357099.49666666664,92632556096.37424,91069371306.21867,85639155908.13089,83355453166.87895,80796528474.73996,87596173604.28998,89159547917.42462,90291114785.79077,78320435714.1101,67105773479.73155,73973268226.58386,84006717815.12717,94499709046.0698,114352623533.85083,146545492691.03638,181232882816.09216,220279764118.21234,284289030971.0179,356415900373.1028,276503406871.9893,316909907327.73785,390805345600.67163,401334131793.27795,419120811939.7703,391385580676.4825,291014949021.7238,283011215669.5111,332815926134.4173,362064656059.88275,371458625234.3821,346756065598.8137
4,NorthernAmerica,3537966.8850000002,3500218.705,3567061.395,3620634.575,3683550.46,3730502.005,3842148.715,3877800.54,3903559.55,3932201.1849999996,4044313.34,3981847.0749999997,4004383.755,4043421.455,4100545.19,4104789.225,4066605.36,4129759.025,4012671.48,3765145.43,3880032.73,3809258.0300000003,3693452.015,3782378.695,3809360.53,3730138.455,3641680.115,3637029.12,3739723.7150000003,3670798.085,3342381.0,3278536775454.234,3384228591821.5938,3556357344626.458,3717864880978.2188,3932687639718.805,4121890311716.7007,4350834193986.0654,4616270728427.777,4848409101000.0,5154538199135.559,5498559439965.794,5660401595677.686,5848534194049.003,6176892262317.394,6620209692639.125,7104874414389.34,7566938111795.485,7960339531891.63,8132916887360.825,7911779083578.645,8304698047243.13,8667953867087.26,9012686915260.8,9315723308917.49,9666456786719.97,9897404692608.57,10136535214453.715,10596122413622.045,11168595063391.51,11587619871241.154,11299226703784.18
5,NorthernEurope,124515.977,125823.66800000002,119466.11899999999,116782.76000000001,116797.479,115207.231,120297.649,116336.51099999998,115617.05500000001,111838.31099999999,111012.329,112614.197,110431.78700000001,112635.20300000001,111332.041,108725.253,109893.562,108617.23700000001,104572.66400000002,96172.978,99808.84599999999,92950.84599999999,93169.169,91863.601,86671.371,84301.327,82525.025,80816.175,79895.31999999999,76627.016,70226.714,182842650695.71576,188075369426.84863,194142561875.76813,170412617232.40738,183776345976.0952,217937747786.90695,229890091690.6084,240174928756.30322,251217794288.94052,256740796546.29044,252023005539.2513,249883004505.86456,273331268405.49536,322582490087.223,377698375029.1028,400106678588.71655,430375518701.2381,495843839940.5054,495714855751.029,415435958297.485,430287539997.5116,471459336498.7125,470098120529.8869,488393785836.02783,517800085385.6659,478512483164.2456,457571511494.8566,468980474740.2503,505540040710.8763,497759591312.104,485741372988.5492
6,Oceania,251388.415,251868.86,254293.58,254488.155,255234.895,259735.58000000002,264063.265,271608.605,277611.995,281473.315,288219.73,293605.935,295426.725,295770.8,304248.335,308670.97,310895.57,313206.425,314239.61,314387.32999999996,312250.39,313056.75,315696.23000000004,311114.34500000003,307332.035,311634.4,314642.52499999997,319046.255,319801.85500000004,317617.36000000004,307035.19,178410896743.31274,184324160039.14502,183565051821.30362,179450907654.35983,189061032690.93542,215917251961.35376,235615182444.65143,250699568890.4051,227815816493.0459,223930572598.9384,234099746234.89856,216478179256.4769,230985222964.64075,277820841726.7913,359035760540.6655,404897653107.62897,429547482624.976,495572176188.54297,594129248080.697,524708300217.1905,647053362328.492,783099636950.8195,861357609094.0919,883620928893.5365,834409158414.9185,764299312696.8405,697814282151.9719,766916736350.9275,820377649004.462,802421779355.544,769268510021.0095
7,South-easternAsia,266818.39,292610.4,306828.59,318657.49,334191.21,370881.5883333334,407571.9666666667,444262.345,480952.7233333333,517643.1016666667,554333.48,537949.0,545911.0,559139.0,583101.0,590736.0,610242.0,607947.0,629710.0,628562.0,685711.0,726262.0,757250.0,796579.0,864948.0,907334.0,883224.0,883224.0,883224.0,883224.0,883224.0,106140727357.032,116621996217.133,128026966579.964,158006700301.533,176892143931.505,202132028723.115,227369679374.973,215748998609.635,95445547872.715,140001351215.462,165021012077.81,160446947784.909,195660611165.183,234772463823.808,256836875295.452,285868618224.017,364570514304.85,432216737774.861,510228634992.258,539580085612.401,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14
8,SouthAmerica,196232.3736,202826.079,206839.23200000002,211335.55120000002,216529.7122,222976.28146666667,227965.88313333332,235841.69139999998,240653.62866666666,244149.81993333335,251961.85240000003,254794.6088,257169.98539999998,265482.531,277160.012,283286.1492,289409.9292,296524.2796,302417.6338,298889.3872,309555.2522,319696.5478,327998.6408,340668.69220000005,348001.245,346403.6956,343346.8408,342523.995,344749.5832,345062.74100000004,343967.805,127889271982.97636,130736207423.54182,139465235361.6136,151122829587.72818,193280771452.49908,249326443351.74252,270605655726.758,285164968902.2794,279636379065.10016,218942470550.83438,233828839375.04425,209980457285.09238,165999328738.4096,182967313262.30774,223401574220.4354,287003106260.8932,349046754271.57336,433320706382.08435,519957895183.20636,505116619918.9969,657019024822.1876,781055497849.8254,768380661845.1667,777304086145.2236,764961311839.4473,624833482694.3391,615677149086.0776,701413793550.6926,659219611265.2966,632208585138.208,512082659672.8115
9,SouthernAfrica,347349.36,355471.31,363593.26,371715.20999999996,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,379837.16,115552349036.929,123943432441.241,134545231416.55,147196639471.188,153512625915.287,171735223677.318,163236785802.34,168976663845.486,152982541794.042,151516560274.982,151753369491.916,135429607036.658,129088132201.846,197020241490.079,255806631391.551,288868489078.987,303860874149.007,333075462599.71,316132138757.081,329753048857.052,417365076968.257,458201514136.977,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,404842116738.074,387934574098.17,335442101366.417
10,SouthernAsia,799840.65,799840.65,799840.65,799840.65,799840.65,833820.1858333334,867799.7216666667,901779.2575000001,935758.7933333335,969738.3291666666,1003717.865,1034370.842,1065023.8190000001,1095676.796,1126329.773,1156982.75,1187635.727,1218288.7040000001,1248941.681,1279594.658,1310247.635,1368797.5391666666,1427347.4433333334,1485897.3475000001,1544447.2516666667,1602997.1558333333,1661547.06,1661547.06,1661547.06,1661547.06,1661547.06,222896145172.92902,187281029453.69,186154300257.0235,171519823109.9655,199558522356.0777,228350589230.23535,256650493116.75598,264893458642.51453,265814195433.6255,286334433713.079,288993322532.29297,306159882417.291,321782433186.9,380622018414.651,449595974384.75,523416866902.222,603279400226.6425,783308521491.7101,805615877292.1794,879141814264.0255,1081211475463.3535,1201907415344.4495,1213253160024.2734,1158507635359.428,1235907241238.184,1244269646755.085,1356390782037.275,1548409101417.0076,1497734231699.844,1564374797191.082,1431858276409.9868
11,SouthernEurope,146503.98714285714,146898.48428571428,148604.84285714285,146025.8457142857,147908.3742857143,155113.28,153424.75857142857,157965.92285714284,162553.9857142857,168349.11000000002,171358.10142857142,171923.00142857144,176265.99142857143,180095.8742857143,183739.68142857144,187101.68,183605.68142857144,184672.60428571427,177190.09428571427,161652.44571428574,159677.01571428572,157181.39857142858,152397.49285714285,141488.34,137843.7557142857,141022.23857142855,138244.19571428574,140738.13428571427,138212.29,132359.03857142857,118957.36285714286,277286095217.117,294940358522.2389,317426521495.3509,262947286701.34528,270448234585.30737,298865881571.445,324701786300.08997,305825529038.1816,315655934397.52344,315313576289.8698,290764423031.9728,300032594274.5444,331304078654.10803,416641887748.4481,483192544558.932,506310874887.36426,540897595644.3253,622512417125.0541,682325797964.7102,624667954687.1583,601011333336.4398,631787414487.4177,569058846629.7646,582732098833.5614,587594448688.3287,504326007016.6331,516561364022.3458,543473488025.3332,585228789738.622,568457404881.4418,530429901113.3787
12,WesternAsia,112004.9625,117218.0325,122181.575,127432.8925,129170.8825,135884.6275,144080.7325,150776.48381250002,155095.87012500002,158393.8164375,167611.48025,168713.60116666666,176153.99458333332,186955.748,195214.71025,206918.97375,218164.04975,233197.40350000001,238535.19725,244957.3965,252205.553,263073.97325000004,272111.66125,268549.06225,272895.71225,277576.88275,284194.91775,290906.41250000003,289619.45225000003,286262.85975,289607.7685,93625848908.7164,97156750423.41147,100766215018.45708,105083407836.91353,93474116308.7566,105841953289.35483,115082634721.93265,120024879355.69826,137247648080.5432,136441677867.17015,151564847958.2669,131775709104.8003,140606959915.35135,167998510540.16016,205127551562.65076,248964622989.65607,277044061609.7737,325108117266.0707,383703785860.87427,328067324759.57306,391396738716.4541,449965233865.4756,474981709182.4348,505624596849.11914,507351190895.6196,459626813908.55225,463651590418.2013,481432641151.64307,491039411478.0367,494416054623.1294,462946519504.6071
13,WesternEurope,288310.87,287904.94875,279634.04875,275474.9925,272591.67750000005,272959.24875,279639.07625,271856.81625,271242.01875,263817.98875,262679.8225,265897.11625,262259.90125,263337.78625,261404.57,257592.72,255785.23875000002,249889.05125000002,249279.6,234936.86875,242957.4925,232837.65375,232721.405,235271.96375,223629.58125000002,226017.23375,226557.875,224558.25375,216728.905,208371.06125,190957.55,501527955045.37274,516933771265.2764,578034123306.3566,556719671416.5199,593582138068.6543,693171081093.7378,679295812586.1833,608088881199.239,622982860524.6221,616551635643.2225,557313491381.1715,562122466768.7695,605217842491.5907,736343227416.4203,837026624764.7516,861371643534.0156,909913372506.6438,1041983349374.2631,1147163971077.4192,1056939067866.5309,1052915525917.132,1156676397326.9001,1089172562135.904,1144618121327.8264,1176740117004.5115,1021516803618.3198,1044733539773.2622,1099562062035.3328,1186309527250.3755,1164629853757.1199,1147266776748.6323
